  From number    To number  From name           To name             ID      In service    R (pu)    X (pu)    Tap ratio (pu)    Capacity (MVA)
         3088         3129  NIS_B310_34.500     ZAC_U01_0.4800      1                1    0.0000   10.0000            1.0063            1.0000
         3088         3302  NIS_B310_34.500     PENCALIGUE_4.1600   1                1    0.0000    0.9000            1.0000            8.8000
         3088         3303  NIS_B310_34.500     PENCALIGUE_4.1600   1                1    0.0000    0.9000            1.0000            8.8000
         3088         3313  NIS_B310_34.500     PHP_4.2000          1                1    0.0000    6.0000            1.1500            8.0000
         3090         3402  PAV_B363_34.500     NAC_U01_4.1600      1                1    0.0000    0.2194            1.0000           31.0000
         3091         3092  PAZ_B525_138.00     PAZ_B125_4.1600     1                1    0.0000    0.8000            0.9609           12.5000
         3091         3092  PAZ_B525_138.00     PAZ_B125_4.1600     2                1    0.0000    0.4000            0.9609           25.0000
         3099         3411  SFE_B303_34.500     SFE_B103_13.800     1                1    0.0000    0.8571            1.0000            7.0000
         3101         3601  SFE_B505_138.00     SFE_13.8_13.800     1                1    0.0000    0.3326            0.9812           25.0000
         3103         3151  SGT_138KV_138.00    SGT_34.5KV_34.500   1                1    0.0000    1.0818            1.0250           12.5000
         3104         3105  SIS_B309_34.500     SIS_B548_138.00     1                1    0.0000    0.3130            0.9812           50.0000
